id;name;price;"seller #1";"price #1";"bonus #1";"bonus, % #1";"seller #2";"price #2";"bonus #2";"bonus, % #2";"seller #3";"price #3";"bonus #3";"bonus, % #3";"seller #4";"price #4";"bonus #4";"bonus, % #4";"seller #5";"price #5";"bonus #5";"bonus, % #5";"seller #6";"price #6";"bonus #6";"bonus, % #6";"seller #7";"price #7";"bonus #7";"bonus, % #7";"seller #8";"price #8";"bonus #8";"bonus, % #8";"seller #9";"price #9";"bonus #9";"bonus, % #9";"seller #10";"price #10";"bonus #10";"bonus, % #10"
100024877285;"Держатель для туалетной бумаги Power-Loc";799;Bezant;799;159;0,2;Bezant;799;159;0,2
100024877288;"Держатель туалетной бумаги STATIC-LOC";699;Bezant;699;139;0,2;Bezant;699;139;0,2
100024877289;"Стакан для зубных щеток POTTERY petrol";599;Bezant;599;119;0,2;Bezant;599;119;0,2
100024877290;"Стакан для зубных щеток PURO";699;Bezant;699;139;0,2;Bezant;699;139;0,2
100024877291;"Стакан для зубных щеток FOSSIL beige";699;Bezant;699;139;0,2;Bezant;699;139;0,2
100024877293;"Стакан для зубных щеток MELFI";499;Bezant;499;99;0,2;Bezant;499;99;0,2
100024877234;"Диспенсер для мыла MELFI";699;Bezant;699;139;0,2;Bezant;699;139;0,2
100024877235;"Стакан для зубных щеток PURO grey";699;Bezant;699;139;0,2;Bezant;699;139;0,2
100024877236;"Диспансер для мыла Planet темно-серый";1399;Bezant;1399;279;0,2;Bezant;1399;279;0,2
100024877237;"Диспенсер для мыла POLARIS rose";599;Bezant;599;119;0,2;Bezant;599;119;0,2
100024877238;"Диспенсер для мыла POLARIS purple";799;Bezant;799;159;0,2;Bezant;799;159;0,2
100024877239;"Диспенсер для мыла POTTERY petrol";699;Bezant;699;139;0,2;Bezant;699;139;0,2
100024877240;"Керамический стакан Marrakesh";499;Bezant;499;99;0,2;Bezant;499;99;0,2
100024877241;"Стакан для зубных щеток PALO taupe";799;Bezant;799;159;0,2;Bezant;799;159;0,2
100024877242;"Стеклоочиститель с распылителем EASY CLE";499;Bezant;499;99;0,2;Bezant;499;99;0,2;MrDom;665;133;0,2
100024877243;"Мыльница Planet темно-серый";1099;Bezant;1099;219;0,2;Bezant;1099;219;0,2
100024877244;"Диспенсер для мыла POLARIS blue";599;Bezant;599;119;0,2;Bezant;599;119;0,2
